Model,Best Train Accuracy,Best Test Accuracy,TFlite Test Accuracy,Precision,Recall,F1 Score,Estimated Max RAM Usage (KB),TFlite Estimation size(KB),Estimated Flash Memory (KB),Training Time (s),Flop Number,Epochs Trained
TakuNet_Random_1,0.13886000216007233,0.18719999492168427,0.185,0.25404738012081707,0.18720000000000003,0.16465054309518795,64.0,694.0625,625.72265625,41.402889013290405,1111750,1
TakuNet_Random_2,0.13575999438762665,0.07109999656677246,0.0726,0.1544336446526511,0.0711,0.042040931180702026,256.0,292.1171875,174.47265625,49.47340416908264,5691814,1
TakuNet_Random_3,0.07317999750375748,0.09679999947547913,0.0972,0.10174087345587868,0.0968,0.0628076641097386,32.0,488.0078125,355.56640625,61.029767990112305,644990,1
TakuNet_Random_4,0.12238000333309174,0.13099999725818634,0.1305,0.19542514627841892,0.131,0.10521900737199172,32.0,200.0625,131.72265625,38.431365966796875,833250,1
TakuNet_Random_5,0.11367999762296677,0.09610000252723694,0.0975,0.13472442819716746,0.09610000000000002,0.07430862372502003,32.0,322.1171875,204.47265625,52.61650824546814,727972,1
TakuNet_Random_6,0.168380007147789,0.19869999587535858,0.2018,0.26761829617364713,0.19869999999999993,0.18135788943793105,128.0,225.8203125,149.56640625,53.107428789138794,2642470,1
TakuNet_Random_7,0.14249999821186066,0.125,0.1242,0.2346386035288708,0.12500000000000003,0.10628544985520819,128.0,226.3203125,150.06640625,54.26272892951965,3244614,1
TakuNet_Random_8,0.16419999301433563,0.12229999899864197,0.1278,0.22359047178962643,0.12229999999999999,0.09780102709663026,256.0,378.8984375,231.66015625,64.30667757987976,7278982,1
TakuNet_Random_9,0.11568000167608261,0.1670999974012375,0.1676,0.21328295150241966,0.1671,0.1362114538704076,64.0,490.1171875,372.47265625,56.114924907684326,694222,1
TakuNet_Random_10,0.09694000333547592,0.1264999955892563,0.1284,0.13536378438057756,0.1265,0.0978824075147879,16.0,344.0625,275.72265625,39.29373645782471,401414,1
TakuNet_Random_11,0.11687999963760376,0.15209999680519104,0.1516,0.2043146163837454,0.1521,0.13055476319448941,32.0,212.0625,143.72265625,42.40614128112793,845538,1
TakuNet_Random_12,0.13313999772071838,0.10289999842643738,0.1018,0.18863446474624548,0.10289999999999999,0.07564135249423887,128.0,208.3203125,132.06640625,52.93757247924805,2624550,1
TakuNet_Random_13,0.13305999338626862,0.2289000004529953,0.2339,0.28542773375967945,0.2289,0.20200941050958895,256.0,896.9609375,646.22265625,66.94965887069702,6241150,1
TakuNet_Random_15,0.1416199952363968,0.15049999952316284,0.1499,0.24919718990362644,0.1505,0.1376464155718221,256.0,299.1171875,181.47265625,66.50384211540222,5797286,1
