StartingRam(KB),AccurateRam(KB),MeasuredRam(KB),InferenceTime(S),FlashMeasured(KB)
16,16,37.56,0.34,
128,128,151,2.81,
16,16,35.46,0.35,
32,64,87,1.76,
64,64,91,1.46,
64,64,85,1,
64,64,85.84,0.92,
16,16,39,0.3,
16,16,56,0.21,
64,64,80,1.1,330.1171875
16,16,40,0.42,574.5703125
128,128,188,4.74,238.5703125
32,32,80,0.8,501.8984375
32,32,77,1.07,517.5078125
64,128,156,1.16,541.6875
16,16,39,0.33,388.3203125
32,32,77,0.77,488.0078125
16,16,56,0.61,680.6171875
32,64,90,1.6,212
32,64,70,0.85,219
32,32,72,0.92,488
64,128,178,3,333
64,128,200,3.9,592
32,64,66,1.05,224
16,16,38,0.4,626
64,128,186,4.5,226
32,64,100,1.5,219
32,32,66,0.69,
